
Dataset: Trade in value by partner countries		
Partner country		United States
Flow		Export
Unit		US Dollar
Time period		Apr-2013
Country		
Australia		800425528
Austria	i	857876224
Belgium		2312673542
Canada		29875034340
Chile		1176840911
Czech Republic		282163743
Denmark		917006343
Estonia		46133649
Finland		550252703
France		3110918327
Germany		10021991663
Greece		125614877
Hungary		212717000
Iceland		18316111
Ireland		1966069577
Israel		1528058000
Italy		2793416544
Japan		11458070522
Korea		5373379000
Luxembourg		28488755
Mexico		26048391177
Netherlands		1938511137
New Zealand		271703834
Norway		444633513
Poland		311358000
Portugal		265487486
Slovak Republic		132571021
Slovenia		41481248
Spain		1101238142
Sweden		945074715
Switzerland		2275499391
Turkey		488500469
United Kingdom		5368874009
Data extracted on 07 Mar 2022 21:35 UTC (GMT) from OECD.Stat		
